"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"MCP2562T-E/SN","Microchip Technology","MCP2562T-E/SNCT-ND","","","Cut Tape (CT)","Active","1","1.40000","$1.40","9530","14 Weeks","IC TXRX CAN 8SOIC","RoHS Compliant","Lead free","REACH Unaffected"
"CL21F104ZBCNNNC","Samsung Electro-Mechanics","1276-1007-1-ND","","","Cut Tape (CT)","Active","4","0.14000","$0.56","40000","Not Available","CAP CER 0.1UF 50V Y5V 0805","RoHS Compliant","Lead free","REACH Unaffected"
"GRM21BC8YA106ME11L","Murata Electronics North America","490-10505-1-ND","","","Cut Tape (CT)","Active","2","0.76000","$1.52","0","Not Available","CAP CER 10UF 35V X6S 0805","RoHS Compliant","Lead free","Not Available"
"MCP2515T-I/SO","Microchip Technology","MCP2515T-I/SOCT-ND","","","Cut Tape (CT)","Active","1","2.82000","$2.82","14473","5 Weeks","IC CAN CONTROLLER W/SPI 18SOIC","RoHS Compliant","Lead free","REACH Unaffected"
"B5819WS-TP","Micro Commercial Co","B5819WS-TPMSCT-ND","","","Cut Tape (CT)","Active","1","0.72000","$0.72","539236","16 Weeks","DIODE SCHOTTKY 40V 1A SOD323","RoHS Compliant","Lead free","REACH Unaffected"
"885012007012","Wurth Electronics Inc.","732-7816-1-ND","","","Cut Tape (CT)","Active","2","0.14000","$0.28","1315","37 Weeks","CAP CER 22PF 16V C0G/NP0 0805","RoHS Compliant","Lead free","REACH Unaffected"
"NX5032GA-16MHZ-STD-CSK-8","NDK America, Inc.","644-1188-1-ND","","","Cut Tape (CT)","Active","1","1.09000","$1.09","5987","12 Weeks","CRYSTAL 16.0000MHZ 8PF SMD","RoHS Compliant","Lead free","Not Available"
"SM04B-GHS-TB(LF)(SN)-","JST Sales America Inc.","455-1566-1-ND","","","Cut Tape (CT)","Active","2","0.64000","$1.28","25163","24 Weeks","CONN HEADER GH SIDE 4POS 1.25MM","RoHS Compliant","Lead free","Not Available"
"RC0805JR-071KL","Yageo","311-1.0KARCT-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","125028","24 Weeks","RES SMD 1K OHM 5% 1/8W 0805","RoHS Compliant","Lead free","REACH Unaffected"
"CRGH0805F4K7","TE Connectivity Passive Product","A129546CT-ND","","","Cut Tape (CT)","Active","1","0.14000","$0.14","10323","28 Weeks","CRGH0805 1% 4K7 0.33W","RoHS Compliant","Lead free","Not Available"
"LTST-C171GKT","Lite-On Inc.","160-1423-1-ND","","","Cut Tape (CT)","Active","2","0.41000","$0.82","405612","12 Weeks","LED GREEN CLEAR CHIP SMD","RoHS Compliant","Lead free","Not Available"
